"This morning, @VP tweeted a message celebrating the Easter holiday. https://t.co/O1KLxdZG54"
"This morning, President @realDonaldTrump tweeted about the Tax Day rallies in which protesters demanded he release\u2026 https://t.co/kAxvy56rYQ"
".@SebGorka: ""@POTUS is not an interventionist Commander-in-Chief. Nothing has changed."" https://t.co/OCpI30jQuf"
WATCH: @jessebwatters Goes to Texas to 'Drain The Swamp'\nhttps://t.co/5vEuSxEvMi
".@SebGorka: ""The goal is to reassert American leadership... America is back. We are jettisoning this idea of leadin\u2026 https://t.co/vutwYS06By"
.@VP Pence says North Korea's latest 'provocation' shows the risk to military https://t.co/k9Z04SG26n https://t.co/MamN061SEO
Professor activist busted - @SecretService eyeing teacher's tweet about hanging POTUS. https://t.co/57FIzrmj7U https://t.co/ZUZa8tqkIm
Report: North Korea missile explodes almost immediately. https://t.co/96qCB0Rouf https://t.co/F8S4E5SRIl
Police arrest at least 20 as protesters clash at pro-Trump rally in Berkeley https://t.co/j1NIZXG4zE
Poll: Do you care that @POTUS hasn't released his tax returns? https://t.co/KsbsEAEJk4
Afghan Official: Death toll rises to 94 ISIS fighters killed in MOAB airstrike by the U.S. https://t.co/TQOBpk4BX7 https://t.co/ZxGMu8C8zG
Report: Trump reelection effort raises $13.2 million so far this year https://t.co/qMwickHDX3 https://t.co/0w5jj6U3s2
.@davidwebbshow Slams @SenWarren: I'm Not Taking Nat'l Security Advice From Her https://t.co/TW0mj8ZbEL https://t.co/pfl5NwTdi4
"Moments ago, @FLOTUS tweeted out a ""Happy Easter"" message featuring @POTUS. https://t.co/IsImINpD99"
Key themes for @VP's Asia trip. https://t.co/Jc4eTGMe4d
"Earlier this week in a speech, Attorney General Jeff Sessions declared: \u201cThis is a new era; this is the Trump era.\u201d\u2026 https://t.co/xsG4Ua9jWJ"
.@Dakota_Meyer: 'Mother of All Bombs' Drop a Win for 'America's Team' https://t.co/a5VO0riMfi https://t.co/TaEkn3WR2F
"On ""Cashin' In,"" @ericbolling slammed popular culture that is still embracing political correctness. https://t.co/0eY5Lui5UP"
".@AmbJohnBolton: ""[North Korea's] regime is never going to voluntarily give up nuclear weapons."" https://t.co/i8lGCg8g9i"
".@RCamposDuffy: ""Barack Obama was in bed with the Iranians trying to make a secret deal and that's why he didn't cr\u2026 https://t.co/8ulY8BYWoX"
New Study: House GOP tax reform plan would create 1.7 million jobs. https://t.co/xxv2E3B9nS
"On ""FOX &amp; Friends Weekend,"" @davidwebbshow slammed @SenWarren 's response to @POTUS's recent actions in Afghanistan\u2026 https://t.co/ctuU5627uz"
".@davidwebbshow: ""Here's the problem: Liberals like to crowd-source their military strategy as Obama did, or write\u2026 https://t.co/McaRNZYanJ"
Ages of military children worldwide. https://t.co/nqdE3oZ8Pr
1.7 million total military children worldwide. https://t.co/w2qm1hXFv3
".@Dakota_Meyer: ""It finally shows that we have an administration that's letting the military do its job.""\u2026 https://t.co/kSOm3RSH6x"
Trump To Be First President Since Reagan to Address NRA Forum https://t.co/zf1m1lHJu7 https://t.co/rQD3o4iTny
U.S. markets - Past 2 weeks. https://t.co/tJpST3bnN6
Wounded warriors &amp; marathon runners throw out 1st pitch of the @RedSox game. @heads_together #HeadsTogether\u2026 https://t.co/qY21LMTXTb
Report: @HumaAbedin eyes $2 million book deal. https://t.co/pxgP6RUOK5
Poll: Do you care that @POTUS hasn't released his tax returns? https://t.co/zqxpNx1xDi
Trump To Be First President Since Reagan to Address @NRA Forum https://t.co/fFLlMFvlwh
".@Johnny_Joey: Obama Admin Didn't Want to Bomb, 'Saw Me As Expendable' https://t.co/Wq3LZ9ZvYw https://t.co/SyiauVa8fJ"
".@TimKennedyMMA: ""I've got people that will back me now."" https://t.co/MbzFMOzF06 https://t.co/Ey1sIeYst2"
"Earlier, President @realDonaldTrump tweeted about the need to greatly expand the U.S. military. https://t.co/HuBdAD1Xvu"
Christians around the world celebrate #EasterSunday; @BryanLlenas reports. https://t.co/cfNfB7kyoY
".@Johnny_Joey: Obama Admin Didn't Want to Bomb, 'Saw Me As Expendable' https://t.co/Wq3LZ9HV6Y https://t.co/NRxM3vCXO5"
Afghan official: US bomb death toll rises to 94 https://t.co/TQOBpk4BX7 https://t.co/ErBbLvC7st
".@Johnny_Joey: Obama Admin Didn't Want to Bomb, 'Saw Me As Expendable'\nhttps://t.co/eJySBKBTV3"
"Kelsey Grammer, who portrays King Herod, discusses the making of \u2018Killing Jesus.\u2019 Don\u2019t miss \u2018Killing Jesus\u2019 TONIGH\u2026 https://t.co/ea1e6FBZTE"
Poll: @POTUS's job performance - Now vs. March 28. https://t.co/u9DvGkAHwn
Dem State Rep to GOP Woman: 'I Wanted to Punch Her in the Throat'\nhttps://t.co/6ZGG9h1JUn
Ex-NFL player Todd Heap accidentally kills 3-year-old daughter with truck\nhttps://t.co/cn369CNBof
.@davidwebbshow Slams @SenWarren: I'm Not Taking Nat'l Security Advice From Her\nhttps://t.co/9Uo7X2mqRL
Man gets lost Purple Heart 66 years after brother's death https://t.co/OF9WMJQn0c https://t.co/tH7BeDbiVZ
"On ""Sunday Morning Futures,"" @SebGorka compared @POTUS's policy of keeping military planning under wraps to his pre\u2026 https://t.co/Kwuu2Ieu95"
".@AmbJohnBolton: ""I've long believed that reunification of the [Korean] peninsula is the answer."" https://t.co/koA0wOT4oq"
".@AmbJohnBolton: ""@POTUS's responsibility is the safety of Americans."" https://t.co/Xn3cmgf2f5"
Poll: Why don't you trust the news you see on @facebook? https://t.co/L0PhoHQkiJ
"Homeland's Patinkin on Muslim 'Fear': White Men in Gov't, Military Are the Problem\nhttps://t.co/uTlHyGXL8S"
That Time Sean Spicer (Really) Dressed as the White House Easter Bunny\nhttps://t.co/MnUjXVBExC
IRS 'drains' Tori Spelling and Dean McDermott's bank accounts\nhttps://t.co/7pDmF9oEfa
.@melissamccarthy Dresses Like the Easter Bunny to Pan @seanspicer's Hitler Gaffe\nhttps://t.co/lmS13A7pFR
".@hectorgarza2455: ""Right now, we cannot hire border agents fast enough."" https://t.co/AI2AOhKTHY"
'Patriotism Triggering People': California College Votes to Remove Flag From Meetings https://t.co/MJYXxP4KGb https://t.co/5qHfdLKZC8
".@fatherjonathan: ""They've said, 'You know what - there's something more important than my safety, and that is goin\u2026 https://t.co/IaUojCZYZW"
Study: 90K Christians Were Killed for Their Faith in 2016 https://t.co/LNanoDIWbJ https://t.co/eCWDxiwY3X
TONIGHT - A must-see movie event: #KillingJesus - 8p ET on Fox News Channel. https://t.co/kA7JbGgsWl
"Ed Rollins: ""The military people have the team that [@POTUS] trusts the most."" #SundayFutures @MariaBartiromo https://t.co/1AJJHiq3pC"
WATCH: @JudgeJeanine's full interview with AG Jeff Sessions - Part 2. https://t.co/BaIT4ESISm
WATCH: @JudgeJeanine's full interview with AG Jeff Sessions - Part 1. https://t.co/jZ1iUyOiAn
"This morning, President @realDonaldTrump tweeted about the Tax Day rallies in which protesters demanded he release\u2026 https://t.co/gb7R3vupMo"
".@RepDeSantis: ""We would never have won the House or the Senate unless we were opposed to ObamaCare.""\u2026 https://t.co/HROaqxlxEm"
".@SebGorka: ""We trust our men and women in uniform. @POTUS trusts their leaders."" #SundayFutures @MariaBartiromo https://t.co/u8ZLDQSVId"
".@SebGorka: ""Our great men and women in uniform were shackled for eight years."" #SundayFutures @MariaBartiromo https://t.co/pDfpEAquoF"
".@SebGorka: ""@POTUS is not an interventionist Commander-in-Chief. Nothing has changed."" #SundayFutures\u2026 https://t.co/YiyKStoTEA"
".@SebGorka: ""This is not the Obama White House. We don't give our playbook away."" #SundayFutures @MariaBartiromo https://t.co/7QMxkTBxHz"
".@SebGorka: ""The goal is to reassert American leadership... America is back. We are jettisoning this idea of leadin\u2026 https://t.co/kC9YEnLQKO"
.@VP Pence says North Korea's latest 'provocation' shows the risk to military https://t.co/k9Z04SG26n https://t.co/VJnpxKjmrD
RT @SundayFutures: Your Easter Sunday episode of #SundayFutures starts now on @FoxNews! https://t.co/rhdrIgmwPm
News by the Numbers - #Easter edition! https://t.co/j5gZbm0zKk
Professor activist busted - @SecretService eyeing teacher's tweet about hanging POTUS. https://t.co/57FIzrmj7U https://t.co/j0xAgazjnG
RT @FoxNewsSunday: .@GillianHTurner on President Trump\u2019s recent Foreign Policy flips: What we\u2019re seeing here is an evolution
RT @FoxNewsSunday: Our #FNS Panel is up now: @MikeNeedham @JenGriffinFNC @GillianHTurner &amp; @realBobWoodward
.@Pontifex on Easter: Cling to faith amid wars and hatred https://t.co/FyyqwxjAeH https://t.co/eSOu86oYMb
RT @FoxNewsSunday: .@MacTXPress on missile defense: This is the time to step on the gas\u2026
"Earlier this morning, President @realDonaldTrump wished everyone a Happy Easter. https://t.co/z2KJWuEu2j"
RT @FoxNewsSunday: .@MacTXPress on possible preemptive strike on #NoKo: You don\u2019t take options off the table...you don\u2019t talk about what yo\u2026
RT @FoxNewsSunday: .@MacTXPress on options in #NoKo: We need to keep the pressure on China to rein North Korea in.
RT @FoxNewsSunday: .@MacTXPress on when #NoKo could have a missile to reach U.S.: We don\u2019t know.
RT @FoxNewsSunday: .@MacTXPress on events in #NoKo this weekend: Even failed launches tell them something and help their program.
RT @FoxNewsSunday: .@MacTXPress on events in #NoKo this weekend: The message from NoKo was \u201cwe are strong and we can hurt you\u201d.
"RT @KristinFisher: KT McFarland just now @FoxNewsSunday: ""I Briefed POTUS on it last night... no further comment on this particular launch\u2026"
"RT @KristinFisher: Chris Wallace @FoxNewsSunday: ""Did U.S.sabotage this (North Korean) missile? \n\nMcFarland: ""You know we can't talk about\u2026"
"RT @FoxNewsSunday: KT McFarland, Deputy NSA on her future: President Trump hired me\u2026We talked about it again last night, there are changes\u2026"
"RT @FoxNewsSunday: KT McFarland, Deputy NSA on Russia: Our relationship with Russia really depends on Russia\u2026the ball is in their court."
"RT @FoxNewsSunday: KT McFarland, Deputy NSA on China/NoKo: The Chinese President gave an indication that he would be willing to work w/ Pre\u2026"
Voting underway in Turkey's historic political referendum  https://t.co/JHeGsYlTpW via @SkyNews https://t.co/FcZo94ts5a
"RT @FoxNewsSunday: KT McFarland, Deputy NSA on NoKo Failed Missile Launch: It\u2019s not a surprise, I briefed the President last night, we took\u2026"
Report: North Korea missile explodes almost immediately. https://t.co/96qCB0Rouf https://t.co/F6xSBIV8zC
Police arrest at least 20 as protesters clash at pro-Trump rally in Berkeley https://t.co/j1NIZXXFrc
Arrest announced in killing of jogger Vanessa Marcotte in Massachusetts  https://t.co/vPllcngBDN #FOXNewsUS https://t.co/uMCpXXawY0
Pence says North Korea's latest 'provocation' shows the risk to military  https://t.co/W5I1ic1bY9 https://t.co/bncefMbvpB
Pope Francis on Easter:  Cling to faith amid wars and hatred  https://t.co/mB8u4nASJN https://t.co/fMcc7JQTdr
Thousands fill the Vatican as pope celebrates Easter Sunday https://t.co/SvwUL9Jr2p
Pence lands in South Korea amid rising tensions in North Korea https://t.co/0kZZns8KqK
Fugitive Mexican ex-governor detained in Guatemala https://t.co/AiB2KfSAJz
Arrest announced in killing of jogger Vanessa Marcotte in Massachusetts https://t.co/qkQJpY5r0R
Sister of #Celtics star Isaiah Thomas dies in Washington state car crash https://t.co/o9s6X7hj9d via @RyanGaydos https://t.co/aNqYLfZGBH
Iran says it will seek 'no one's permission' to build up military https://t.co/TTZaqShvc7
North Korea missile test: Latest launch 'blew up almost immediately' https://t.co/96qCB18ZlN
Newt and Callista Gingrich: Easter 2017: 'Be Not Afraid' https://t.co/X77Hbgc0Ut https://t.co/dBNKoCi5Dy
US Navy training jets will be modified as it determines oxygen problem https://t.co/YY0hmYLXWz https://t.co/ML7922y4Qi
One of three white wolves roaming Yellowstone park euthanized over injuries https://t.co/ArjFRFLGf4 https://t.co/yQXjqqDUy0
Trump gives generals more freedom to make decisions in ISIS fight https://t.co/honyhq5y27
Assange lashes out against CIA after Pompeo rips WikiLeaks https://t.co/OBXF2IFJvu
Syria car bomb: Death toll rises to 100 after explosion near evacuation buses https://t.co/LzxoiwClfi https://t.co/DhYxnsnPrV
