Ganadores \U0001f44c https://t.co/r1cwgSIoNe
"Feliz, por haber logrado el r\xe9cord con la camiseta de este club. \nHala Madrid! \U0001f4af\U0001f44d https://t.co/hS7VFx9UF2"
Train hard to win the toughest battles\U0001f4aa #Mercurial\nMy #CR7 Chapter 4 training gear is out on https://t.co/hiajNd1ipb https://t.co/DjkTKx9plq
So happy with the victory tonight and to have reached \U0001f4af\u26bd in European competitions.\nA huge thanks to all my team mat\u2026 https://t.co/FiJM5ukryV
good morning \U0001f440\U0001f576\U0001f44c\U0001f3fc\U0001f44d\U0001f3fc https://t.co/Mg1wKsYRqJ
Forged in Manchester \U0001f4aa\U0001f3fc#Mercurial\nAvailable tomorrow \U0001f440\U0001f449\U0001f3fchttps://t.co/E2zLOUFGP6 https://t.co/nuvDnwWbU1
\U0001f440\U0001f44c\U0001f3fc https://t.co/hb5Ge5epqg
Putting the 7 into CR7. Many happy memories of Manchester \U0001f3c6 \U0001f44c #Mercurial \nCR7 Chapter 4 - Available April 10\u2026 https://t.co/cvQaXf4RO4
First day with my new boots. \U0001f44c https://t.co/n8QWiJVKGM
My new #Mercurial \u2013 inspired by the 6 years in Manchester that made me CR7 \U0001f4aa \nCR7 Chapter 4 - Coming April 10 https://t.co/N6SlraQJyv
Soon\U0001f440 https://t.co/LOX4aKqo2P
\U0001f44d\U0001f3fc https://t.co/4LFFUXgzxk
Selfie time\U0001f44c https://t.co/UDV4bwbI1D
Be focus\U0001f440 https://t.co/ul9bJMYCIE
"Just finished shooting with @nubiasmartphone, very impressed by the dual camera! Looking forward to the product lau\u2026 https://t.co/Tcc8xcr3bq"
Proud \U0001f44c\U0001f44c\U0001f44c\U0001f6eb https://t.co/Z0tPBJLDC8
Happy and honored to have my name given to the Madeira airport! \u2708\ufe0f\U0001f44d https://t.co/6SxibYtxje
Always special to be back home!\U0001f3c6\U0001f44d\U0001f51d https://t.co/1DmtPxrIuj
\U0001f1f5\U0001f1f9\u26bd\ufe0f https://t.co/gsCazNBsMD
Lunch with my little man\u2764\ufe0f\ufe0f\u2764\ufe0f\ufe0f\u2764\ufe0f\ufe0f https://t.co/9ohWhAKVR1
Well done boys \U0001f44c\U0001f1f5\U0001f1f9 https://t.co/EsUiLo6sgW
Great mood With my boy\U0001f1f5\U0001f1f9\U0001f44c https://t.co/L4uX6C795P
Just dream it and achieve your potential! Now share your success story with @turktelekom to inspire us all.\u2026 https://t.co/JA0pXIEtPp
Glad to meet these amazing kids today! They are a true source of inspiration \U0001f4aa @terradossonhos https://t.co/rffvehvvY1
\U0001f1f5\U0001f1f9\U0001f1f5\U0001f1f9\U0001f1f5\U0001f1f9 https://t.co/6j3fJnZIQ6
Perfect for the summer! \U0001f44d\U0001f3fc\U0001f51d @CR7underwear https://t.co/6wNnolthcq https://t.co/hXrRmpLGcT
\U0001f44c https://t.co/lNLapUBuXC
Always staying ahead of the competition. \U0001f44d\U0001f3fc Speed training with @Herbalife . #sponsored #TrueToYourStory\n https://t.co/3SAsb4k4jL
Today I think of Syrian kids like Omar* who drew his dream of being a barber. \u2702 #SaveSyriasChildren @SavetheChildren https://t.co/8Ca2B5SbXh
Did you check out the latest update for my mobile game? It's awesome! How many goals can you score?\nUpdate Now:\u2026 https://t.co/wANIaBnbRv
Had a lot of fun today at the grand opening of the CR7 Crunch Fitness at Ciudad Lineal\U0001f44c\U0001f51d https://t.co/MHGunJjWWa
"Ya conoces mi nuevo gimnasio @CR7CrunchFitnes ? Ven a ciudad Lineal, hasta el final del mes y  aprovecha la matr\xedcu\u2026 https://t.co/eMk69nvm1V"
All of my favourite styles \ufffc\ufffc\ufffcare in the SS17 #CR7Underwear campaign! https://t.co/bGlQH5sKHu
Training \U0001f44d\U0001f44c https://t.co/7erxmUeUwY
VAMOS EQUIPO. HALA MADRID \U0001f44c\U0001f44d https://t.co/Pnvi8Q4PO0
"To be a champion, you need the best. @Xtrade will give you the right tools to start with. https://t.co/wF7n2MNbE9 https://t.co/qs3N7u9BZm"
\U0001f6b4\U0001f3fb https://t.co/iEeVY8TnNg
@nubiasmartphone is ready  #ToMeetNewPossibilities. How about you? Go to Nubia Stand at the #MWC2017 Barcelona and\u2026 https://t.co/b9Cm5LBVfG
Well done team\U0001f44d\U0001f44c https://t.co/2DEr4ZYrQy
Hala Madrid \U0001f44d\U0001f44c https://t.co/B0ITdX99FD
\U0001f3e1\U0001f60e\u2600\ufe0f https://t.co/mCrtBvFoxg
@CR7underwear shoot in 360! New designs and styles are on https://t.co/6wNnolthcq \U0001f604 https://t.co/7fCH5U1hM9
\U0001f44c\U0001f44c\U0001f44c https://t.co/hpJWIik14h
\U0001f44d https://t.co/bcFdNf7mdG
Have you seen the new update of @cr7selfie? Now you can have a selfie with me and the Ballon D\u2019or!\nTry it now \u270c\U0001f4f8\u2026 https://t.co/w27Qfz0yta
Having some fun on the set of my latest @CR7underwear\u200b campaign! Check it out! https://t.co/6wNnolthcq https://t.co/lNnMojMGRt
It's all about the detail! My new @CR7underwear collection and campaign launches TODAY! https://t.co/6wNnolthcq https://t.co/tAKSLDYStg
