#idontwannaliveforever #fiftyshadesdarker\nhttps://t.co/PwER46Gt3F
#idontwannaliveforever #fiftyshadesdarker https://t.co/Tl9TAHIUTZ
\U0001f942 #idontwannaliveforever #FiftyShadesDarker\n\nhttps://t.co/Nta0MJLKyt
Video tomorrow night midnight est #idontwannaliveforever #fiftyshadesdarker https://t.co/fjWhrnNnSf
Coming soon... #idontwannaliveforever\n#fiftyshadesdarker https://t.co/BVoMeAOQiv
"So much love, pride, and respect for those who marched. I'm proud to be a woman today, and every day. \n#WomensMarch"
"#LiveByNight is out now!\n\nCheck out the guy in the back with the really strong vest game, @austinswift7 \U0001f601 https://t.co/bRBRTLB7Sb"
HAPPY Z DAY https://t.co/8d2eckMDsK
#fiftyshadesdarker\n#idontwannaliveforever https://t.co/Q51nqZ4ppX
Z | T | 50\n\n@fiftyshades #fiftyshadesdarker \n@itunes https://t.co/m4meFS4F79
"RT @ATT: .@TaylorSwift13 fans have a new destination for unique and never seen videos, #TaylorSwiftNOW \u2013 coming soon, only on AT&amp;T. https:/\u2026"
YES @Drake \U0001f44d\U0001f4aa\u2728\n#drakevsbenchpress https://t.co/pZCQUaX8Mm
Today is the day.\xa0Go out and VOTE \U0001f1fa\U0001f1f8 https://t.co/NdJ0OeiuUH
HI #1 @littlebigtown https://t.co/PYSYDMZlHM
RT @littlebigtown: Watch the #Betterman video now on @Vevo!\n\nhttps://t.co/5OVIyT6gU0 https://t.co/bYN2l0MVx6
Feeling really honored... https://t.co/SlxoWgxBBQ
\u2764\ufe0f https://t.co/TL9xT3Lavj
"Thanks @ATT, this is gonna be fun https://t.co/dS0qPTIutF"
RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ
RT @GraceVanderWaal: Words can not explain how honored  I am for this.. thank. You. SOOOOOOO MUCH!!!! @taylorswift13 https://t.co/KwcvIwGtpq
"Spending today with my family, thinking of those families who lost someone 15 years ago. We'll always remember. #NeverForget911"
RT @AfricanParks: Thank you @TaylorSwift13 for your very generous donation to @AfricanParks on #WorldElephantDay
"Sending my biggest congratulations to Simone, Aly, Laurie, Gabby and Madison! YOU DID IT GIRLS!! \U0001f1fa\U0001f1f8  #FinalFive"
"That moment when Kanye West secretly records your phone call, then Kim posts it on the Internet. https://t.co/4GJqdyykQu"
With a heavy heart... https://t.co/Dd1M0b7G1P
One of my favorite people in the world turns 30 today! I LOVE YOU @lenadunham \u2764\ufe0f https://t.co/8DNm1QPLvU
Dance like no one's watching @AppleMusic @thedarkness\nhttps://t.co/QfX9l0EXX7
RT @DietCoke: Congratulations @taylorswift13 on the BMI Taylor Swift Award. Here's to two things that never go out of style. https://t.co/z\u2026
Really good times last night. \U0001f389 https://t.co/CNU16p83MX
"Last night BMI gave me an award called the Taylor Swift Award, which was very nice of them. https://t.co/RKH4NrNOG5"
WOAH thanks @voguemagazine for the cover and Theo Wenner for taking this photo at Met Gala! What a night \u2728 https://t.co/b12sYNDR9i
RT @voguemagazine: Our May cover star @taylorswift13 takes us on a tour of her Beverly Hills home and answers all of our #73Questions: http\u2026
Getting ready to go out\u2026 @AppleMusic @JimmyEatWorld\nhttps://t.co/vq8LCFOuCO
BLEACHELLA. https://t.co/TwozyjEsgl
"Come to the party, they said \nIt will be fun, they said https://t.co/9jXvtDljZB"
Thank you so much for taking these sick photos and changing up my usual vibessss @mertalasmarcus!! @voguemagazine https://t.co/ztRVVPCcBH
