@PrinceEa Bravo! Bravo!  #SuperSoulSunday https://t.co/7k9PqJk5P3
"""You can't be an extension of a heart you don't honor"".. @RealJohnGray #SuperSoulSunday https://t.co/jlFXpW3ZUm"
""" you are spoken into the earth"" Thanks @RealJohnGray #SuperSoulSunday"
Joy disarms the broken heart. Thanks @RealJohnGray #SuperSoulSunday
@TraceyWJZ @cbsbaltimore WJZtv so many memories! #HappyEaster
@jodisjoy @RealJohnGray So agree that @RealJohnGray is authentically powerful! #SuperSoulSunday
Hey Super Soulers let's reunite.#SuperSoulSunday
@kraziideafgurl Double Amen! #bookofJohn
@3LWTV @RealJohnGray @OWNTV He's so Real yet profound . @RealJohnGray #BookOfJohn
@OWNTVFans @OWNTV  https://t.co/OeoOCQgSuH
Ready for #BookofJohn y'all!
"""You cannot heal what you will not speak"". Thank u for reminding us @IyanlaVanzant #FixMyLife"
"@IyanlaVanzant I think this is profoundly moving T.V.  ""This is what depression looks like"".. #FixMyLife"
Shelby father at 12 and molested ! Whoa! @IyanlaVanzant  Heal On!\n#FixMyLife
NObody like Iyanla #FixMyLife
"You are director of the Drama, speak Iyanla. #FixMyLife"
@wendelltalking @OWNTV @IyanlaVanzant I appreciated that line too. #FixMyLife
@kofisiriboe Hi .. you already have my number. How's films ng going?
RT @ALLISONSMILES: Tune in early and catch #LotteryDrama! Get ready for @OWNTV #FixMyLife Season 5! Guess who's back? @IyanlaVanzant 9p/8c\u2026
"@3LWTV @DeepakChopra Cool pic, meditating. Where are you?"
When I met @RealJohnGray I could feel right away he was special. He\u2019s definitely NOT your daddy\u2019s preacher.\u2026 https://t.co/bRRBRLwTg8
"The Master Fixer, @IyanlaVanzant returns for another fired up season! https://t.co/6Bvyd2eNgT"
"I want everyone to know the impact Henrietta Lacks has made on the world. The Immortal Life of Henrietta Lacks, Apr\u2026 https://t.co/680gMOmhpf"
We're back Sweeties \U0001f49aSee you all June 20th &amp; 21st https://t.co/lSDH1IWd5l
RT @GreenleafOWN: Can\u2019t wait for more #Greenleaf? Fill the time with this new #Greenleaf level on our hit game @BoldMovesOWN! https://t.co/\u2026
RT @people: The countdown to PEOPLE\u2019s World\u2019s #MostBeautiful 2017 is on! Today\u2019s Beauty of the Day is \u2026 @Oprah! https://t.co/QthZZmDv0I htt\u2026
"Greenleafers, see you for the tweet party tonight! 10/9c \U0001f525\U0001f33f https://t.co/42EtMzfdsv"
@AshBenton this was my favorite message tonight! #HENRIETTALACKS
Thanks all for being on the call. #HenriettaLacks
RT @cherylaction: Experience an elevated experience in the comfort of your home watch the immortal life of #HENRIETTALACKS  on April 22 on\u2026
Greenleafers...things are getting HOT in this church. Watch with me tonight at 10/9c. https://t.co/7uAdQW4OIj
Sweet memories. Happy Birthday Maya! https://t.co/oU4aIVbkXj
Greenleafers..things are getting too hot to miss! Catch up on all #Greenleaf episodes now https://t.co/AHByrPM9Bg https://t.co/x0R10oedW5
"@lesiaminor you're right  @LoniLove, @TheEricaAsh are \U0001f602#OWNTonight"
"@LoniLove so agree with y'all on the Darius , Grace shoulda been a Real kiss. #OwnTonight"
"Mama Knows.. ""There it is"" #Greenleaf"
RT @i_speak16: Charity's hair is everything! @DeborahJWinans #Greenleaf
"@1RealGirlWriter on the road with ""Lonzo"".. thanks for askin #Greenleaf"
"RT @ChaiTeaLoveMe: \u201c@pchst8grl: Honey is the youth choir singer ""Baby Skanks"" singing to the Lord or his boo thang? #Greenleaf \U0001f343\U0001f340\U0001f331@Greenlea\u2026"
@imkurtsparks Kerrisa doesn't think so. #Greenleaf
Things are heating UP Greenleafers. Can't look away TV. Watch with me tonight at 10/9c. #Greenleaf https://t.co/z28h5UPp1A
Can you believe she's playing MY mother? Thanks #Essence #HenriettaLacks @HBO April 22 https://t.co/zRzebKCPU3
@RickFox great job! #OWNTonight
@MsLynnWhitfield watching love the butler line.and dropping the coat!
Watching @RickFox on #OWNTONIGHT  good job u guys!
@PRanganathan well written huh\U0001f44d\U0001f3fe #Greenleaf
@3LWTV @LammanRucker @OWNTV  agree! My daddy woulda slapped me cross the room!
What black man calls his preacher father a false prophet? Only on t.v.  #GREENLEAF
@PRanganathan @MsLynnWhitfield Lady Mae trying to keep up. #Greenleaf
@blackglamasoror one eye and one ear you can still keep up. Feel better soon #Greenleaf
@MsLynnWhitfield @GreenleafOWN \u270b\U0001f3fdhey Lynn present and watching #Greenleaf
@RickFox BRING It! #Greenleaf
Greenleafers! Season 2 is heating up &amp; we\u2019re just getting started. I\u2019ll be watching and tweeting with ya TOMORROW n\u2026 https://t.co/N8rJiToFRy
RT @Essence: We're extremely excited to unveil the cover of our April 2017 issue featuring the iconic @Oprah and @ReneeGoldsberry! Pick you\u2026
@Big_Little_Lies Oooo SO well done! @@RWitherspoon \U0001f44f\U0001f3fd\U0001f44f\U0001f3fd
@RWitherspoon binge watching @Big_Little_Lies .. you ( Madeline) are All THAT!
Here's what I've been working on for months. Excited to share the trailer for the Immortal Life of #HenriettaLacks\u2026 https://t.co/TOrLExov17
"""You always sweet to me""! #Greenleaf"
@kirkfranklin YEESSS!! And THanK You #Greenleaf!
@ImKeithDavid @GreenleafOWN better one tonight! #Greenleaf
AmEn! We're Baaaack! #Greenleaf
Only 30 minutes until the premiere of #Greenleaf Season 2! Who will be tweet tweetin?
RT @LionsgateTV: Take your seat and prepare for judgment. #Greenleaf returns TONIGHT 10/9c on @OWNTV! https://t.co/FI23SRIPPM
RT @MerleDandridge: It's here. Tonight.  Revelation. Redemption. Juicy Condemnation. #Greenleaf Season 2 at 10/9c @GreenleafOWN @OWNTV @Lio\u2026
RT @ImKeithDavid: Judgment Day has arrived! Watch the season 2 premiere of @GreenleafOWN TONIGHT on @OWNTV at 10/9C. #Greenleaf https://t.c\u2026
Mavis and the entire cast is back y'all. Greenleaf premieres tonight at 10/9c. Tweet party tonight! https://t.co/bLTvoX2wMO
"Greenleaf returns tomorrow, 10/9c. I\u2019ll be watching with ya! https://t.co/kR8A70vuyd"
Counting down to Wednesday. Greenleaf Season 2 returns 3/15 at 10/9c! \U0001f64c\U0001f3fe https://t.co/cbNcfkvYCr
I'll be celebrating #internationalwomensday thru June. 10 https://t.co/OsRfVVLGVR graduations to attend from my South African girls!
@NateBerkus What a beautiful day that was! And dinner in THE Library!
@TimOli1 @wakeupamerica23
Whaaaaaaa??!congratulations Moonlight! My favorite #Oscars in memory!!
@jimmykimmel half way through and u haven't missed a moment! \U0001f44d\U0001f3fe\U0001f44d\U0001f3fe\U0001f483\U0001f3fe #Oscars
