b'#idontwannaliveforever #fiftyshadesdarker\nhttps://t.co/PwER46Gt3F'
b'#idontwannaliveforever #fiftyshadesdarker https://t.co/Tl9TAHIUTZ'
b'\xf0\x9f\xa5\x82 #idontwannaliveforever #FiftyShadesDarker\n\nhttps://t.co/Nta0MJLKyt'
b'Video tomorrow night midnight est #idontwannaliveforever #fiftyshadesdarker https://t.co/fjWhrnNnSf'
b'Coming soon... #idontwannaliveforever\n#fiftyshadesdarker https://t.co/BVoMeAOQiv'
"b""So much love, pride, and respect for those who marched. I'm proud to be a woman today, and every day. \n#WomensMarch"""
"b'#LiveByNight is out now!\n\nCheck out the guy in the back with the really strong vest game, @austinswift7 \xf0\x9f\x98\x81 https://t.co/bRBRTLB7Sb'"
b'HAPPY Z DAY https://t.co/8d2eckMDsK'
b'#fiftyshadesdarker\n#idontwannaliveforever https://t.co/Q51nqZ4ppX'
b'Z | T | 50\n\n@fiftyshades #fiftyshadesdarker \n@itunes https://t.co/m4meFS4F79'
"b'RT @ATT: .@TaylorSwift13 fans have a new destination for unique and never seen videos, #TaylorSwiftNOW \xe2\x80\x93 coming soon, only on AT&amp;T. https:/\xe2\x80\xa6'"
b'YES @Drake \xf0\x9f\x91\x8d\xf0\x9f\x92\xaa\xe2\x9c\xa8\n#drakevsbenchpress https://t.co/pZCQUaX8Mm'
b'Today is the day.\xc2\xa0Go out and VOTE \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/NdJ0OeiuUH'
b'HI #1 @littlebigtown https://t.co/PYSYDMZlHM'
b'RT @littlebigtown: Watch the #Betterman video now on @Vevo!\n\nhttps://t.co/5OVIyT6gU0 https://t.co/bYN2l0MVx6'
b'Feeling really honored... https://t.co/SlxoWgxBBQ'
b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/TL9xT3Lavj'
"b'Thanks @ATT, this is gonna be fun https://t.co/dS0qPTIutF'"
b'RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ'
b'RT @GraceVanderWaal: Words can not explain how honored  I am for this.. thank. You. SOOOOOOO MUCH!!!! @taylorswift13 https://t.co/KwcvIwGtpq'
"b""Spending today with my family, thinking of those families who lost someone 15 years ago. We'll always remember. #NeverForget911"""
b'RT @AfricanParks: Thank you @TaylorSwift13 for your very generous donation to @AfricanParks on #WorldElephantDay'
"b'Sending my biggest congratulations to Simone, Aly, Laurie, Gabby and Madison! YOU DID IT GIRLS!! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8  #FinalFive'"
"b'That moment when Kanye West secretly records your phone call, then Kim posts it on the Internet. https://t.co/4GJqdyykQu'"
b'With a heavy heart... https://t.co/Dd1M0b7G1P'
b'One of my favorite people in the world turns 30 today! I LOVE YOU @lenadunham \xe2\x9d\xa4\xef\xb8\x8f https://t.co/8DNm1QPLvU'
"b""Dance like no one's watching @AppleMusic @thedarkness\nhttps://t.co/QfX9l0EXX7"""
"b""RT @DietCoke: Congratulations @taylorswift13 on the BMI Taylor Swift Award. Here's to two things that never go out of style. https://t.co/z\xe2\x80\xa6"""
b'Really good times last night. \xf0\x9f\x8e\x89 https://t.co/CNU16p83MX'
"b'Last night BMI gave me an award called the Taylor Swift Award, which was very nice of them. https://t.co/RKH4NrNOG5'"
b'WOAH thanks @voguemagazine for the cover and Theo Wenner for taking this photo at Met Gala! What a night \xe2\x9c\xa8 https://t.co/b12sYNDR9i'
b'RT @voguemagazine: Our May cover star @taylorswift13 takes us on a tour of her Beverly Hills home and answers all of our #73Questions: http\xe2\x80\xa6'
b'Getting ready to go out\xe2\x80\xa6 @AppleMusic @JimmyEatWorld\nhttps://t.co/vq8LCFOuCO'
b'BLEACHELLA. https://t.co/TwozyjEsgl'
"b'Come to the party, they said \nIt will be fun, they said https://t.co/9jXvtDljZB'"
b'Thank you so much for taking these sick photos and changing up my usual vibessss @mertalasmarcus!! @voguemagazine https://t.co/ztRVVPCcBH'
b'Thank you @jasongay for hanging out with me and @BritMaack at her wedding!! Read his awesome Vogue cover story:https://t.co/CIJWpEyNdW'
b'RT @voguemagazine: This is how the world\xe2\x80\x99s biggest pop star spends her precious downtime: https://t.co/2PtNe8sA8F'
b'Thanks @voguemagazine! I love this one. https://t.co/FoNLCNuPFC'
b'RT @JosephKahn: It came! Thank you taylorswift for the new hardware. You are the best home decorator ever :) @\xe2\x80\xa6 https://t.co/MLO5XlcUbZ'
b'The best people in life are free. \n\n#NewRomantics \nhttps://t.co/qpp4HneyVX https://t.co/aYZ4iiJgnU'
b'RT @kelly_clarkson: Oh my gosh @taylorswift13 your commercial right now where you fall off the treadmill is pretty much my favorite thing e\xe2\x80\xa6'
"b""What an unbelievable run we've had with 1989. I'm so grateful for all of these memories &amp; all of you. #iHeartAwards https://t.co/zGNnFEg6tZ"""
b'RT @selenagomez: #OG \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/YAd6oUSd3s'
"b'RT @jtimberlake: My good friend, Taylor.... Congrats, dear!!! #iHeartAwards https://t.co/uFzYBrXYEv'"
b'Headed to the #iHeartAwards now!!'
b'RT @troyesivan: .@taylorswift13 @RubyRose https://t.co/kLI4MwToXM'
b'Based on true events. #TAYLORvsTREADMILL \n@applemusic @Drake @1Future\nhttps://t.co/ryUY3Yz7Pr\nhttps://t.co/1eIHjoVIFU'
"b'RT @austinswift7: Recently realized that in 4 years we\'ll all be living in ""the twenties""  I\'m not mad but a heads-up on that one might\'ve\xe2\x80\xa6'"
b'GROUND YOURSELF.\n@austinswift7 https://t.co/mkUQYeto0i'
b'A devastating loss.\n@austinswift7 https://t.co/ok021VmIEn'
b'Easter Egg Battles 2016\n@austinswift7 https://t.co/Nv85oxoBQj'
"b'RT @twitter: Thank you, @taylorswift13 for celebrating love and sharing your stage with us every day. #LoveTwitter\nhttps://t.co/mfkSawqfLK'"
b'Dogs tho. https://t.co/h0uiMM6JO2'
b'HAPPY BIRTHDAY AUSTIN!!!!!\nThanks for 24 years of LOLs.\n@austinswift7 https://t.co/ruTohXcwWO'
b'RT @RWitherspoon: Happy #InternationalWomensDay ladies!!! A little inspiration courtesy @taylorswift13 #IWD2016 \xf0\x9f\x8e\xa8@FOXADHD https://t.co/kG8N\xe2\x80\xa6'
b'So grateful and inspired today!\nTake the Pledge For Parity at\nhttps://t.co/nQosDLJSY2\n#HappyInternationalWomensDay https://t.co/MkZJfa5I7Y'
"b""I feel like we achieved our goal of looking like we're in a new primetime drama series called Family Secrets. https://t.co/O33kRm8VJH"""
"b""I'm very happy to say the next single from 1989 will be 'New Romantics'."""
b'RT @BindiIrwin: So grateful to have people like @taylorswift13 in the world to share positivity and light. We all need a reminder to stay s\xe2\x80\xa6'
"b'RT @RubyRose: Congratulations @taylorswift13 first you looked amazing, second you performed like a queen and you ended with an on point spe\xe2\x80\xa6'"
"b""RT @alexmorgan13: Preach @taylorswift13! It's so great to see strong women using their platform to support and inspire girls and women. #po\xe2\x80\xa6"""
b'RT @AbbyWambach: Amen @taylorswift13 A-effing-men!!!!  #mygoshwhatanacceptancespeech'
b'The moment it hits you.\n@jackantonoff \n#GRAMMYs https://t.co/cKZDjZ3uWN'
"b""RT @jessetyler: I'm channeling my inner @taylorswift13 today. I'm quoting that @TheGRAMMYs speech to anyone who crosses me. https://t.co/bI\xe2\x80\xa6"""
b'Oh what a night. \xe2\xad\x90\xef\xb8\x8f https://t.co/6GXus3xD4s'
b'RT @oliviamunn: High-\xe2\x9c\x8b to @taylorswift13 for her big win last night at The Grammys and for giving a kick ass speech to inspire girls everyw\xe2\x80\xa6'
b'RT @RWitherspoon: @taylorswift13 Loved your amazing words! Keep encouraging all those young women to write their stories&amp; sing their songs \xe2\x80\xa6'
b'RT @Mariska: Congrats @taylorswift13 on the #BadBlood big win! #MadLove #VideoOfTheYear #BandaidsDontFixBulletHoles #Grammys'
b'@ChrisStapleton I glitter-bomb because I care.'
b'@TheGRAMMYs @edsheeran YES.'
b'RT @TheGRAMMYs: Congratulations to @EdSheeran for his first GRAMMY win on #GRAMMYLive. #GRAMMYs https://t.co/nNifrCUeGm https://t.co/NNA3nK\xe2\x80\xa6'
