b'@natalie_nicoleg yum thank you. Will try this'
b'And also what are your recipes? I want to make some good shakes!!'
b'Do protein shakes work? I want to start drinking as my breakfast. Any suggestions from the die hard work out and heath peeps?'
"b""I'm taking the #KimKardashianGame to the next level. Update now! https://t.co/CqlAWaTXEO"""
b'CALABASAS https://t.co/LEsZYxtcA4 https://t.co/Wy8bIiXmZO'
b'\xe2\x9d\xa4\xef\xb8\x8f https://t.co/sUktwqSClT'
b'Details https://t.co/QYk7b4Aa4K'
b'date night https://t.co/GDNZ59vi2k'
b'Kimoji Merch contest for subscribers on my app or https://t.co/M0m4mjqwvP https://t.co/Lxuuj1FqbF'
b'RT @WannaBeLikeKim: Now you have a chance to win some #KIMOJI merch. Enter now at https://t.co/NDMPkU5Wne https://t.co/wStSkkyk9i'
b'Detoxing with @fittea \xf0\x9f\x92\x9c it tastes amazing and the ingredients are all natural \xf0\x9f\x8d\xb5 #ad https://t.co/rjyXxJIzMF'
b'@YeA_Im_PrEttY @khloekardashian \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98'
b'@neverletyoupart \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
b'@alex_falconer_x thank you \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
"b""RT @salazar3_: @KimKardashian you're family is such a blessing. Always seek the giant!! Love y'all"""
"b'RT @kendalljexnner: ""There is nothing better than the power of a united family"" \xf0\x9f\x92\x96 @khloekardashian @KimKardashian @kourtneykardash https://\xe2\x80\xa6'"
b'@denisesolis_ awww thank you so much! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
b'@AdonusYo thank you! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
b'RT @lisamessineo: @avaawhitney @khloekardashian @KrisJenner @KimKardashian I too love their family bond  \xf0\x9f\x98\x8a their such an amazing loving fam\xe2\x80\xa6'
b'RT @AdonusYo: @KimKardashian it was the best episode ever Kim! #kuwtk'
b'RT @Aussie_Kardash: @khloekardashian a family that prayers together stays together \xe2\x9d\xa4 https://t.co/8mDmwOTYaC'
b'West Coast you ready for an all new episode of Keeping Up With The Kardashians? It starts in 10 mins on E!'
"b'RT @khloekardashian: 30 mins until a brand new #KUWTK, east coast!! https://t.co/7hqbsO7yss'"
b'Get ready for a brand new episode of #KUWTK tonight! 9/8c on E! https://t.co/6ZRqzFKAv1'
"b'You ready, @EOnlineUK? A new episode of #KUWTK airs in the UK tonight at 9pm!'"
"b""Guess what guys? I'm a bot! Let's chat on Facebook Messenger! #KimKardashianGame \nhttps://t.co/pHBWlpZIgW https://t.co/heA1NWMUQZ"""
b'Squad https://t.co/zaYjdLPqbQ'
b'filter contest on my app now https://t.co/JDRFFc1PFr'
"b""Props to @steph_shep she's the best camera lady! We didn't even have our filming crew w us in Paris! That was all Steph on a little camera"""
b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x92\x99 https://t.co/dCjMfx1nNv'
"b""I can say I've become so much better because of it....thank you for allowing me to share my story tonight #KUWTK"""
"b'I took a tragic horrific experience and did not let it diminish me, rather grew and evolved and allowed the experience to teach me.'"
"b""\xe2\x9d\xa4\xef\xb8\x8fthis @Jeremih song in tonight's episode"""
b'Tune into E!'
"b""Ummm words can't describe my excitement! Thank you @Starburst \xf0\x9f\x92\x97 https://t.co/bFT937ICoT"""
"b'To the French police, thank you for your incredible hard work.'"
"b""To my friends, family, and loved ones I can't thank you enough for being there when I needed you the most."""
"b'I would never wish this experience upon anyone,but have learned some valuable lessons &amp;feel so blessed to be safe home w my babies &amp; husband'"
"b""I have always shared so much &amp; I'm not going to hold back when this was probably one of the most life changing experiences for me."""
"b'However, I thought it was important to share this story through my eyes &amp; not in an interview where my own words could be twisted.'"
"b""Tonight's episode is going to be very tough for me."""
"b""I know I'm late but Happy Birthday Bobby. I love you mucho \xf0\x9f\x8d\x80 https://t.co/7cT0fGwOg2"""
